steam_appid,name,developers,publishers,categories,genres,required_age,n_achievements,platforms,total_reviews,total_positive,total_negative,review_score,review_score_desc,positive_percentual,metacritic,is_free,price_initial (USD),current_player_count,release_date
880940,Pummel Party,['Rebuilt Games'],['Rebuilt Games'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","['Action', 'Casual', 'Indie']",0,31,['windows'],13303,11711,1592,8.0,Very Positive,88.0,0,False,14.99,1458,N/A
872670,SCP: 5K,['Affray Interactive'],['Affray Interactive'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Family Sharing']","['Action', 'Indie', 'Massively Multiplayer', 'Strategy', 'Early Access']",0,7,['windows'],6660,5389,1271,8.0,Very Positive,80.9,0,False,19.99,161,N/A
870780,Control Ultimate Edition,['Remedy Entertainment'],['505 Games'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure']",85,67,['windows'],19838,17832,2006,8.0,Very Positive,89.9,85,False,39.99,604,"27 Aug, 2020"
861540,Dicey Dungeons,['Terry Cavanagh'],['Terry Cavanagh'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']","['Indie', 'Strategy']",80,53,"['windows', 'mac', 'linux']",5805,5233,572,8.0,Very Positive,90.1,80,False,14.99,60,N/A
858810,Dawn of Man,['Madruga Works'],['Madruga Works'],"['Single-player', 'Steam Achievements', 'Steam Workshop', 'Family Sharing']","['Indie', 'Simulation', 'Strategy']",0,24,"['windows', 'mac']",9322,8006,1316,8.0,Very Positive,85.9,0,False,24.99,295,N/A
1943950,Escape the Backrooms,['Fancy Games'],['Fancy Games'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Indie', 'Early Access']",0,30,['windows'],27300,24645,2655,8.0,Very Positive,90.3,0,False,9.99,1355,N/A
1929610,Demonologist,['Clock Wizard Games'],['Clock Wizard Games'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Action', 'Adventure', 'Indie']",0,19,['windows'],8911,7625,1286,8.0,Very Positive,85.6,0,False,14.99,387,N/A
1928980,Nightingale,['Inflexion Games'],['Inflexion Games'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","['Action', 'Adventure', 'RPG', 'Early Access']",0,28,['windows'],9042,6480,2562,6.0,Mostly Positive,71.7,0,False,29.99,270,N/A
1888160,ARMORED CORE™ VI FIRES OF RUBICON™,"['FromSoftware, Inc.']","['FromSoftware, Inc.', 'Bandai Namco Entertainment Inc.']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']",['Action'],86,30,['windows'],35807,33516,2291,8.0,Very Positive,93.6,86,False,59.99,1104,"24 Aug, 2023"
1850570,DEATH STRANDING DIRECTOR'S CUT,['KOJIMA PRODUCTIONS'],[' 505 Games'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'HDR available', 'Family Sharing']","['Action', 'Adventure']",85,63,['windows'],9917,9108,809,8.0,Very Positive,91.8,85,False,39.99,1394,N/A
